Implementation,CPU_Count,Matrix_Size,Iterations,t_min(s),t_max(s),t_avg(s),stddev(%)
MPI,1,256,10,0.095367,0.103321,0.100538,1.92
MPI,2,256,10,0.054937,0.057513,0.055792,1.48
MPI,4,256,10,0.027616,0.029522,0.028008,1.87
MPI,8,256,10,0.012884,0.014190,0.013916,2.55
MPI,1,512,10,0.273248,0.869735,0.576997,44.12
MPI,2,512,10,0.140049,0.154678,0.143303,3.79
MPI,4,512,10,0.071946,0.072339,0.072149,0.18
MPI,8,512,10,0.035964,0.042978,0.037073,5.34
MPI,1,1024,10,2.250085,4.655226,3.367545,30.08
MPI,2,1024,10,1.107931,3.928177,2.354831,41.59
MPI,4,1024,10,0.961012,3.535195,1.958524,39.04
MPI,8,1024,10,0.294841,1.674234,1.146860,34.16
MPI,1,2048,10,16.624545,50.509324,20.105295,50.41
MPI,2,2048,10,8.498432,8.789680,8.706773,1.28
MPI,4,2048,10,4.282971,4.420897,4.367607,0.94
MPI,8,2048,10,2.207300,2.219346,2.216317,0.18
MPI,1,4096,10,135.546543,143.349059,138.044391,2.16
MPI,2,4096,10,69.012407,69.950081,69.657993,0.40
MPI,4,4096,10,33.446366,34.143054,33.751148,0.60
MPI,8,4096,10,17.455093,17.667599,17.585903,0.42
MPI,1,8192,10,1072.306402,1103.075144,1089.368999,1.23
MPI,2,8192,10,567.825380,568.992303,568.400999,0.06
MPI,4,8192,10,284.207166,284.763814,284.511459,0.07
MPI,8,8192,10,142.252232,142.808026,142.639344,0.10
